1;dnsbl-1.uceprotect.net;http://www.uceprotect.net/;Uceprotect;NOW();NOW()
2;dnsbl-2.uceprotect.net;http://www.uceprotect.net/;Uceprotect;;
3;dnsbl-3.uceprotect.net;http://www.uceprotect.net/;Uceprotect;;
4;access.redhawk.org;https://www.redhawk.org/SpamHawk/query.php;Red Hawk;;
5;all.spamrats.com;http://www.spamrats.com/about.php;Spam Rats;;
6;bl.spamcop.net;https://www.spamcop.net/bl.shtml;Spam Cop;;
7;rbl.realtimeblacklist.com;https://realtimeblacklist.com/;Realtime Blacklist;;
8;cbl.abuseat.org;https://www.abuseat.org/;Abuseat;;
9;dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
10;http.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
11;socks.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
12;misc.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
13;smtp.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
14;web.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
15;spam.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
16;dul.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
17;db.wpbl.info;http://www.wpbl.info/;WPBL;;
18;dyna.spamrats.com;http://www.spamrats.com/about.php;SpamRats;;
19;ips.backscatterer.org;http://www.backscatterer.org/;Backscatterer;;
20;blackholes.five-ten-sg.com;http://www.five-ten-sg.com/mapper;Five Ten;;
21;blacklist.woody.ch;http://blacklist.woody.ch/rblcheck.php3;Woody;;
22;combined.rbl.msrbl.net;http://msrbl.blogspot.de/;MSRBL;;
23;ix.dnsbl.manitu.net;http://www.dnsbl.manitu.net/;Nix Spam;;
24;noptr.spamrats.com;http://www.spamrats.com/about.php;Spam Rats;;
25;phishing.rbl.msrbl.net;http://msrbl.blogspot.de/;MSRBL;;
26;psbl.surriel.com;https://psbl.org/;Spamikaze;;
27;rbl.interserver.net;http://rbldata.interserver.net/;Inter Server;;
28;images.rbl.msrbl.net;http://msrbl.blogspot.de/;MSRBL;;
29;korea.services.net;http://korea.services.net/;Korean Service;;
30;spam.rbl.msrbl.net;http://msrbl.blogspot.de/;MSRBL;;
31;short.rbl.jp;http://www.rbl.jp/;RBL;;
32;virus.rbl.msrbl.net;http://msrbl.blogspot.de/;MSRBL;;
33;wormrbl.imp.ch;http://antispam.imp.ch/;Impro Ware;;
34;zombie.dnsbl.sorbs.net;http://www.sorbs.net/;Sorbs;;
35;spam.spamrats.com;http://www.spamrats.com/about.php;Spam Rats;;
36;auth.spamrats.com;http://www.spamrats.com/about.php;Spam Rats;;
37;dnsbl.kempt.net;http://www.kempt.net/dnsbl/;Kempt;;
38;dnsrbl.swinog.ch;http://antispam.imp.ch/;Swinog;;
39;multi.surbl.org;http://www.surbl.org/;Surbl;;
40;mail-abuse.blacklist.jippg.org;blacklist.jippg.org;JIPPG's Relay Blackhole List;;
